scenario,ID,SYEAR,EYEAR,LON,LAT,DIR
usgs-cb-1,AT-Neu,2004,2005,11.317500114440918,47.11660003662109,./data/simulation/degub/stn/sim_AT-Neu_2004_2005.nc
usgs-cb-1,AU-How,2004,2005,131.14990234375,-12.49520016,./data/simulation/degub/stn/sim_AU-How_2004_2005.nc
usgs-cb-1,BE-Bra,2004,2005,4.520500183105469,51.30910110473633,./data/simulation/degub/stn/sim_BE-Bra_2004_2005.nc
usgs-cb-1,BE-Lon,2005,2005,4.746099948883057,50.55149841308594,./data/simulation/degub/stn/sim_BE-Lon_2005_2005.nc
usgs-cb-1,BE-Vie,2004,2005,5.998000144958496,50.30500030517578,./data/simulation/degub/stn/sim_BE-Vie_2004_2005.nc
usgs-cb-1,CA-Qfo,2004,2005,-74.34210205,49.692501068115234,./data/simulation/degub/stn/sim_CA-Qfo_2004_2005.nc
usgs-cb-1,CA-SF1,2004,2005,-105.8174973,54.48500061035156,./data/simulation/degub/stn/sim_CA-SF1_2004_2005.nc
usgs-cb-1,CA-SF2,2004,2005,-105.8775024,54.25379943847656,./data/simulation/degub/stn/sim_CA-SF2_2004_2005.nc
usgs-cb-1,CA-SF3,2004,2005,-106.0053024,54.09149932861328,./data/simulation/degub/stn/sim_CA-SF3_2004_2005.nc
usgs-cb-1,US-Los,2004,2005,8.410400391,47.21020126342773,./data/simulation/degub/stn/sim_US-Los_2004_2005.nc
