scenario,ID,SYEAR,EYEAR,LON,LAT,DIR
pc-vg-4,US-AR1,2010,2012,-99.4198989868164,36.426700592041016,/share/home/dq013/zhwei/OpenBench/20250120/data/simulation/single_point_test/US-AR1/pc-vg-4/sim_US-AR1_2010_2012.nc
pc-vg-4,US-Bkg,2005,2006,-96.83609771728516,44.34519958496094,/share/home/dq013/zhwei/OpenBench/20250120/data/simulation/single_point_test/US-Bkg/pc-vg-4/sim_US-Bkg_2005_2006.nc
pc-vg-4,CA-SF3,2003,2005,-106.00530242919922,54.09149932861328,/share/home/dq013/zhwei/OpenBench/20250120/data/simulation/single_point_test/CA-SF3/pc-vg-4/sim_CA-SF3_2003_2005.nc
pc-vg-4,DE-Obe,2008,2014,13.721199989318848,50.786598205566406,/share/home/dq013/zhwei/OpenBench/20250120/data/simulation/single_point_test/DE-Obe/pc-vg-4/sim_DE-Obe_2008_2014.nc
pc-vg-4,US-Ho1,1996,2004,-68.74009704589844,45.2041015625,/share/home/dq013/zhwei/OpenBench/20250120/data/simulation/single_point_test/US-Ho1/pc-vg-4/sim_US-Ho1_1996_2004.nc
pc-vg-4,US-Me2,2002,2014,-121.55740356445312,44.452301025390625,/share/home/dq013/zhwei/OpenBench/20250120/data/simulation/single_point_test/US-Me2/pc-vg-4/sim_US-Me2_2002_2014.nc
pc-vg-4,US-SRG,2009,2014,-110.82759857177734,31.789400100708008,/share/home/dq013/zhwei/OpenBench/20250120/data/simulation/single_point_test/US-SRG/pc-vg-4/sim_US-SRG_2009_2014.nc
pc-vg-4,AU-Dry,2011,2015,132.37060546875,-15.258700370788574,/share/home/dq013/zhwei/OpenBench/20250120/data/simulation/single_point_test/AU-Dry/pc-vg-4/sim_AU-Dry_2011_2015.nc
pc-vg-4,CH-Dav,1997,2014,9.855899810791016,46.81529998779297,/share/home/dq013/zhwei/OpenBench/20250120/data/simulation/single_point_test/CH-Dav/pc-vg-4/sim_CH-Dav_1997_2014.nc
pc-vg-4,FI-Hyy,1996,2014,24.295000076293945,61.8474006652832,/share/home/dq013/zhwei/OpenBench/20250120/data/simulation/single_point_test/FI-Hyy/pc-vg-4/sim_FI-Hyy_1996_2014.nc
pc-vg-4,US-Goo,2004,2006,-89.87339782714844,34.254600524902344,/share/home/dq013/zhwei/OpenBench/20250120/data/simulation/single_point_test/US-Goo/pc-vg-4/sim_US-Goo_2004_2006.nc
pc-vg-4,US-MOz,2005,2006,-92.19999694824219,38.74409866333008,/share/home/dq013/zhwei/OpenBench/20250120/data/simulation/single_point_test/US-MOz/pc-vg-4/sim_US-MOz_2005_2006.nc
pc-vg-4,SD-Dem,2005,2009,30.478300094604492,13.28279972076416,/share/home/dq013/zhwei/OpenBench/20250120/data/simulation/single_point_test/SD-Dem/pc-vg-4/sim_SD-Dem_2005_2009.nc
pc-vg-4,DK-Sor,1997,2014,11.644599914550781,55.485801696777344,/share/home/dq013/zhwei/OpenBench/20250120/data/simulation/single_point_test/DK-Sor/pc-vg-4/sim_DK-Sor_1997_2014.nc
