scenario,ID,SYEAR,EYEAR,LON,LAT,DIR
Case07,US-NR1,1999,2014,-105.54640197753906,40.032901763916016,./dataset/Simulation/SiteTest20260106/Case07/sim_US-NR1_1999_2014.nc
Case07,DE-Hai,2000,2012,10.45300006866455,51.0791015625,./dataset/Simulation/SiteTest20260106/Case07/sim_DE-Hai_2000_2012.nc
Case07,AU-Lit,2016,2017,130.79440307617188,-13.178999900817871,./dataset/Simulation/SiteTest20260106/Case07/sim_AU-Lit_2016_2017.nc
Case07,ES-LMa,2004,2006,-5.7733001708984375,39.94260025024414,./dataset/Simulation/SiteTest20260106/Case07/sim_ES-LMa_2004_2006.nc
Case07,FR-Pue,2000,2014,3.5957999229431152,43.74129867553711,./dataset/Simulation/SiteTest20260106/Case07/sim_FR-Pue_2000_2014.nc
Case07,AU-DaP,2009,2012,131.3179931640625,-14.063300132751465,./dataset/Simulation/SiteTest20260106/Case07/sim_AU-DaP_2009_2012.nc
Case07,IT-Amp,2003,2006,13.60509967803955,41.90399932861328,./dataset/Simulation/SiteTest20260106/Case07/sim_IT-Amp_2003_2006.nc
Case07,US-Var,2001,2014,-120.95069885253906,38.41320037841797,./dataset/Simulation/SiteTest20260106/Case07/sim_US-Var_2001_2014.nc
Case07,US-Whs,2008,2014,-110.05220031738281,31.74370002746582,./dataset/Simulation/SiteTest20260106/Case07/sim_US-Whs_2008_2014.nc
Case07,FI-Hyy,1996,2014,24.295000076293945,61.8474006652832,./dataset/Simulation/SiteTest20260106/Case07/sim_FI-Hyy_1996_2014.nc
Case07,AU-Dry,2011,2015,132.37060546875,-15.258700370788574,./dataset/Simulation/SiteTest20260106/Case07/sim_AU-Dry_2011_2015.nc
Case07,CH-Dav,1997,2014,9.855899810791016,46.81529998779297,./dataset/Simulation/SiteTest20260106/Case07/sim_CH-Dav_1997_2014.nc
Case07,AT-Neu,2002,2012,11.317500114440918,47.116600036621094,./dataset/Simulation/SiteTest20260106/Case07/sim_AT-Neu_2002_2012.nc
Case07,US-SRM,2004,2014,-110.86589813232422,31.821300506591797,./dataset/Simulation/SiteTest20260106/Case07/sim_US-SRM_2004_2014.nc
Case07,AU-Stp,2010,2017,133.35020446777344,-17.15060043334961,./dataset/Simulation/SiteTest20260106/Case07/sim_AU-Stp_2010_2017.nc
Case07,BE-Vie,1997,2014,5.998000144958496,50.30500030517578,./dataset/Simulation/SiteTest20260106/Case07/sim_BE-Vie_1997_2014.nc
Case07,DE-Obe,2008,2014,13.721199989318848,50.786598205566406,./dataset/Simulation/SiteTest20260106/Case07/sim_DE-Obe_2008_2014.nc
Case07,CA-SF2,2003,2005,-105.87750244140625,54.25379943847656,./dataset/Simulation/SiteTest20260106/Case07/sim_CA-SF2_2003_2005.nc
Case07,US-SP2,2000,2004,-82.24479675292969,29.764699935913086,./dataset/Simulation/SiteTest20260106/Case07/sim_US-SP2_2000_2004.nc
Case07,FR-Gri,2005,2013,1.9519000053405762,48.844200134277344,./dataset/Simulation/SiteTest20260106/Case07/sim_FR-Gri_2005_2013.nc
Case07,IT-SR2,2013,2014,10.290900230407715,43.731998443603516,./dataset/Simulation/SiteTest20260106/Case07/sim_IT-SR2_2013_2014.nc
Case07,US-KS2,2003,2006,-80.67150115966797,28.60849952697754,./dataset/Simulation/SiteTest20260106/Case07/sim_US-KS2_2003_2006.nc
