ID,SYEAR,EYEAR,LON,LAT,DIR
ARG-MAZ,2003,2019,-72.28639,-51.57943999999998,${OPENBENCH_REF_ROOT}/Station/Water/Transpiration/GLEAM_Hybird/dataset/ARG-MAZ_2003_2019.nc
ARG-TRE,2003,2019,-72.18499999999997,-51.31667000000001,${OPENBENCH_REF_ROOT}/Station/Water/Transpiration/GLEAM_Hybird/dataset/ARG-TRE_2003_2019.nc
AUS-CAN-ST1-EUC,2003,2019,149.1699999999988,-37.57999999999993,${OPENBENCH_REF_ROOT}/Station/Water/Transpiration/GLEAM_Hybird/dataset/AUS-CAN-ST1-EUC_2003_2019.nc
AUS-CAR-THI-00F,2003,2019,146.6829999999993,-38.38299999999985,${OPENBENCH_REF_ROOT}/Station/Water/Transpiration/GLEAM_Hybird/dataset/AUS-CAR-THI-00F_2003_2019.nc
AUS-ELL-HB-HIG,2003,2019,146.5819999999975,-36.78500000000024,${OPENBENCH_REF_ROOT}/Station/Water/Transpiration/GLEAM_Hybird/dataset/AUS-ELL-HB-HIG_2003_2019.nc
AUS-MAR-HSD-HIG,2003,2019,145.5810000000014,-37.64300000000002,${OPENBENCH_REF_ROOT}/Station/Water/Transpiration/GLEAM_Hybird/dataset/AUS-MAR-HSD-HIG_2003_2019.nc
AUS-MAR-UBW,2003,2019,145.5720000000001,-37.88799999999982,${OPENBENCH_REF_ROOT}/Station/Water/Transpiration/GLEAM_Hybird/dataset/AUS-MAR-UBW_2003_2019.nc
AUS-RIC-EUC-ELE,2003,2019,150.7402777777759,-33.61777777777757,${OPENBENCH_REF_ROOT}/Station/Water/Transpiration/GLEAM_Hybird/dataset/AUS-RIC-EUC-ELE_2003_2019.nc
AUS-WOM,2003,2019,144.0944000000016,-37.42220000000069,${OPENBENCH_REF_ROOT}/Station/Water/Transpiration/GLEAM_Hybird/dataset/AUS-WOM_2003_2019.nc
AUT-TSC,2003,2019,10.83888888888892,47.23333333333343,${OPENBENCH_REF_ROOT}/Station/Water/Transpiration/GLEAM_Hybird/dataset/AUT-TSC_2003_2019.nc
BRA-CAX-CON,2003,2019,-51.43402800000017,-1.792306000000031,${OPENBENCH_REF_ROOT}/Station/Water/Transpiration/GLEAM_Hybird/dataset/BRA-CAX-CON_2003_2019.nc
CAN-TUR-P39-POS,2003,2019,-80.35740000000193,42.70977777779913,${OPENBENCH_REF_ROOT}/Station/Water/Transpiration/GLEAM_Hybird/dataset/CAN-TUR-P39-POS_2003_2019.nc
CHE-DAV-SEE,2003,2019,9.856197999999958,46.81667999999991,${OPENBENCH_REF_ROOT}/Station/Water/Transpiration/GLEAM_Hybird/dataset/CHE-DAV-SEE_2003_2019.nc
CHE-LOT-NOR,2003,2019,7.761333333332937,46.39178333333457,${OPENBENCH_REF_ROOT}/Station/Water/Transpiration/GLEAM_Hybird/dataset/CHE-LOT-NOR_2003_2019.nc
CHE-PFY-CON,2003,2019,7.599999999999963,46.29999999999954,${OPENBENCH_REF_ROOT}/Station/Water/Transpiration/GLEAM_Hybird/dataset/CHE-PFY-CON_2003_2019.nc
CHN-ARG-GWD,2003,2019,89.98555556000021,40.75416666999993,${OPENBENCH_REF_ROOT}/Station/Water/Transpiration/GLEAM_Hybird/dataset/CHN-ARG-GWD_2003_2019.nc
CHN-ARG-GWS,2003,2019,89.93833332999981,41.38166667000013,${OPENBENCH_REF_ROOT}/Station/Water/Transpiration/GLEAM_Hybird/dataset/CHN-ARG-GWS_2003_2019.nc
CHN-HOR-AFF,2003,2019,122.3666666666661,42.71666666666652,${OPENBENCH_REF_ROOT}/Station/Water/Transpiration/GLEAM_Hybird/dataset/CHN-HOR-AFF_2003_2019.nc
CHN-YIN-ST1,2003,2019,85.71666666999978,42.45444443999995,${OPENBENCH_REF_ROOT}/Station/Water/Transpiration/GLEAM_Hybird/dataset/CHN-YIN-ST1_2003_2019.nc
CHN-YIN-ST2-DRO,2003,2019,85.13111111000012,42.11444444000006,${OPENBENCH_REF_ROOT}/Station/Water/Transpiration/GLEAM_Hybird/dataset/CHN-YIN-ST2-DRO_2003_2019.nc
CHN-YIN-ST3-DRO,2003,2019,85.98833333000017,42.28833333000009,${OPENBENCH_REF_ROOT}/Station/Water/Transpiration/GLEAM_Hybird/dataset/CHN-YIN-ST3-DRO_2003_2019.nc
COL-MAC-SAF-RAD,2003,2019,-75.36105999999998,1.501111,${OPENBENCH_REF_ROOT}/Station/Water/Transpiration/GLEAM_Hybird/dataset/COL-MAC-SAF-RAD_2003_2019.nc
CRI-TAM-TOW,2003,2019,-84.6258333333323,10.38694444444445,${OPENBENCH_REF_ROOT}/Station/Water/Transpiration/GLEAM_Hybird/dataset/CRI-TAM-TOW_2003_2019.nc
CZE-BIK,2003,2019,18.53000000000021,49.49444444444418,${OPENBENCH_REF_ROOT}/Station/Water/Transpiration/GLEAM_Hybird/dataset/CZE-BIK_2003_2019.nc
